,fast_ma,slow_ma,profit,end_capital,number_of_trades
685,35,55,47.3084,483084,76
581,36,53,47.3019,483019,80
331,31,48,47.2333,482333,76
989,59,60,47.0511,480511,202
744,40,56,47.0286,480286,78
334,34,48,46.8135,478135,78
545,51,52,46.7662,477662,210
439,44,50,46.6447,476447,110
915,43,59,46.5285,475285,74
156,34,44,46.5209,475209,90
542,48,52,46.5009,475009,126
854,39,58,46.2982,472982,72
805,46,57,46.2766,472766,82
333,33,48,46.1042,471042,80
691,41,55,45.9879,469879,80
76,37,42,45.9508,469508,132
490,46,51,45.824,468240,112
117,37,43,45.6704,466704,120
791,32,57,45.5124,465124,70
164,42,44,45.1046,461046,176
493,49,51,45.0281,460281,160
801,42,57,44.8575,458575,78
240,31,46,44.8121,458121,80
77,38,42,44.6232,456232,138
37,38,41,44.5539,455539,148
36,37,41,44.5333,455333,140
802,43,57,44.3608,453608,78
492,48,51,44.3443,453443,142
429,34,50,44.2269,452269,78
746,42,56,44.1091,451091,80
803,44,57,43.9389,449389,78
848,33,58,43.9366,449366,70
119,39,43,43.8579,448579,138
702,52,55,43.757,447570,132
529,35,52,43.6289,446289,78
637,40,54,43.555,445550,80
541,47,52,43.489,444890,112
815,56,57,43.4653,444653,196
855,40,58,43.4403,444403,72
748,44,56,43.3912,443912,78
382,35,49,43.335,443350,78
38,39,41,43.3176,443176,184
380,33,49,43.3115,443115,78
689,39,55,43.1961,441961,80
868,53,58,42.9962,439962,108
535,41,52,42.9433,439433,84
593,48,53,42.9132,439132,110
869,54,58,42.6282,436282,112
926,54,59,42.6062,436062,108
118,38,43,42.4393,434393,128
684,34,55,42.3079,433079,78
287,33,47,42.2967,432967,78
78,39,42,42.2037,432037,156
290,36,47,42.1133,431133,84
591,46,53,42.0848,430848,94
254,45,46,41.914,429140,224
737,33,56,41.8353,428353,72
115,35,43,41.6525,426525,104
745,41,56,41.6473,426473,78
853,38,58,41.54,425400,74
162,40,44,41.3576,423576,132
633,36,54,41.0131,420131,78
800,41,57,41.0054,420054,76
122,42,43,40.9178,419178,238
204,39,45,40.769,417690,114
925,53,59,40.6604,416604,102
540,46,52,40.5826,415826,104
590,45,53,40.5101,415101,90
647,50,54,39.8832,408832,118
79,40,42,39.6853,406853,188
649,52,54,39.6235,406235,150
544,50,52,39.6143,406143,154
983,53,60,39.4498,404498,86
755,51,56,39.423,404230,104
813,54,57,39.2929,402929,132
690,40,55,39.2836,402836,78
299,45,47,38.9965,399965,170
589,44,53,38.9474,399474,88
849,34,58,38.7972,397972,70
693,43,55,38.1149,391149,82
539,45,52,38.0117,390117,96
74,35,42,37.987,389870,116
288,34,47,37.8373,388373,78
641,44,54,37.7811,387811,80
289,35,47,36.6416,376416,80
810,51,57,36.5173,375173,102
443,48,50,36.4602,374602,166
750,46,56,36.4399,374399,86
749,45,56,36.3199,373199,80
486,42,51,36.1223,371223,86
973,43,60,36.0514,370514,76
643,46,54,35.9551,369551,88
242,33,46,35.8213,368213,80
640,43,54,35.3154,363154,82
758,54,56,35.2007,362007,150
751,47,56,35.1497,361497,84
923,51,59,35.0557,360557,84
536,42,52,35.0319,360319,84
243,34,46,34.8025,358025,80
747,43,56,34.7833,357833,78
811,52,57,34.75,357500,106
244,35,46,34.7018,357018,82
245,36,46,34.6066,356066,90
392,45,49,34.3591,353591,132
246,37,46,34.3466,353466,94
587,42,53,34.2965,352965,84
638,41,54,34.1113,351113,78
695,45,55,34.0971,350971,84
198,33,45,33.8947,348947,86
596,51,53,33.8833,348833,154
866,51,58,33.8754,348754,86
645,48,54,33.8674,348674,102
537,43,52,33.8511,348511,86
870,55,58,33.8365,348365,128
648,51,54,33.8263,348263,136
694,44,55,33.5661,345661,80
203,38,45,33.359,343590,108
489,45,51,33.2583,342583,114
696,46,55,33.142,341420,88
491,47,51,33.1156,341156,128
34,35,41,32.8988,338988,122
642,45,54,32.7336,337336,88
346,46,48,32.6624,336624,166
241,32,46,32.642,336420,76
924,52,59,32.4112,334112,84
757,53,56,32.3897,333897,130
393,46,49,32.3487,333487,142
440,45,50,31.908099999999997,329081,112
487,43,51,31.845599999999997,328456,96
756,52,56,31.3183,323183,112
444,49,50,31.2352,322352,220
157,35,44,31.209600000000002,322096,98
494,50,51,30.9849,319849,224
812,53,57,30.9774,319774,114
201,36,45,30.6576,316576,92
759,55,56,30.5523,315523,198
867,52,58,30.4665,314665,102
161,39,44,30.4597,314597,126
75,36,42,30.3797,313797,124
160,38,44,30.096,310960,118
697,47,55,29.6917,306917,88
538,44,52,29.5191,305191,92
639,42,54,28.9032,299032,80
441,46,50,28.5327,295327,130
588,43,53,28.2818,292818,82
80,41,42,28.1967,291967,248
597,52,53,28.14,291400,204
202,37,45,28.0424,290424,92
692,42,55,27.8494,288494,78
650,53,54,27.8328,288328,210
488,44,51,27.7132,287132,100
442,47,50,27.5889,285889,142
704,54,55,27.0425,280425,208
159,37,44,27.0186,280186,108
200,35,45,25.6073,266073,88
199,34,45,25.2307,262307,86
644,47,54,24.64,256400,92
116,36,43,24.1263,251263,110
347,47,48,23.1587,241587,216
158,36,44,23.1264,241264,100
703,53,55,23.0275,240275,152
814,55,57,22.1052,231052,146
395,48,49,21.8744,228744,222
394,47,49,14.6281,156281,174
