,fast_ma,slow_ma,profit,end_capital,number_of_trades
1114,140,167,66.9024,679024,24
1537,62,170,66.9018,679018,14
2381,51,175,66.8545,678545,14
2064,79,173,66.811,678110,14
382,62,163,66.8056,678056,14
1723,79,171,66.791,677910,14
1112,138,167,66.7901,677901,24
1128,154,167,66.7542,677542,30
236,77,162,66.7358,677358,16
1639,164,170,66.6902,676902,48
1274,134,168,66.6201,676201,22
80,81,161,66.5922,675922,16
1129,155,167,66.5281,675281,28
3177,145,179,66.5214,675214,18
1292,152,168,66.5149,675149,28
2323,166,174,66.5027,675027,38
1888,74,172,66.4923,674923,14
2922,67,178,66.4807,674807,14
221,62,162,66.4351,674351,14
1037,63,167,66.42,674200,14
2575,71,176,66.4164,674164,14
1304,164,168,66.3826,673826,58
968,159,166,66.3209,673209,46
970,161,166,66.2777,672777,60
1719,75,171,66.2686,672686,14
3092,60,179,66.2527,672527,14
1788,144,171,66.1817,671817,22
3108,76,179,66.1729,671729,14
2826,147,177,66.1663,671663,20
562,80,164,66.102,671020,16
219,60,162,66.0517,670517,14
725,80,165,66.0325,670325,16
2588,84,176,66.0245,670245,14
2761,82,177,66.0163,670163,14
239,80,162,65.9807,669807,16
2901,46,178,65.937,669370,14
3017,162,178,65.9218,669218,20
889,80,166,65.9048,669048,16
559,77,164,65.8798,668798,16
3285,75,180,65.8359,668359,14
3370,160,180,65.8301,668301,24
383,63,163,65.8234,668234,14
3288,78,180,65.8174,668174,14
1984,170,172,65.8102,668102,72
2748,69,177,65.8022,668022,14
2411,81,175,65.7966,667966,14
1380,73,169,65.7802,667802,14
707,62,165,65.7739,667739,14
3114,82,179,65.7514,667514,14
2246,89,174,65.7418,667418,14
2413,83,175,65.7378,667378,14
1971,157,172,65.7208,667208,26
2937,82,178,65.7183,667183,14
3296,86,180,65.6842,666842,14
3120,88,179,65.6705,666705,14
2492,162,175,65.6404,666404,24
2717,38,177,65.6347,666347,14
1054,80,167,65.6238,666238,16
2305,148,174,65.6066,666066,22
1529,54,170,65.4747,664747,14
1956,142,172,65.474,664740,20
2237,80,174,65.4003,664003,14
724,79,165,65.3671,663671,16
2419,89,175,65.353,663530,14
2893,38,178,65.3342,663342,16
1705,61,171,65.3054,663054,14
3175,143,179,65.2962,662962,18
3358,148,180,65.2835,662835,20
3023,168,178,65.2614,662614,30
1290,150,168,65.0784,660784,26
3294,84,180,65.0617,660617,14
3272,62,180,65.0437,660437,14
1804,160,171,65.0389,660389,28
59,60,161,64.9563,659563,14
1614,139,170,64.9349,659349,22
3298,88,180,64.9084,659084,14
3274,64,180,64.8583,658583,14
3360,150,180,64.8547,658547,20
2121,136,173,64.7953,657953,22
297,138,162,64.7935,657935,26
556,74,164,64.7511,657511,16
2657,153,176,64.7318,657318,22
872,63,166,64.7306,657306,14
1980,166,172,64.6385,656385,52
3179,147,179,64.5834,655834,20
2416,86,175,64.5606,655606,14
1214,74,168,64.5244,655244,14
2491,161,175,64.4862,654862,24
1613,138,170,64.481,654810,22
1203,63,168,64.4713,654713,14
2133,148,173,64.4521,654521,22
2498,168,175,64.443,654430,46
1616,141,170,64.4188,654188,22
1381,74,169,64.3618,653618,14
2481,151,175,64.3045,653045,22
2666,162,176,64.2851,652851,24
2665,161,176,64.2816,652816,22
784,139,165,64.278,652780,24
1703,59,171,64.238,652380,14
2667,163,176,64.2369,652369,24
1449,142,169,64.2215,652215,22
952,143,166,64.2167,652167,26
613,131,164,64.2095,652095,26
1873,59,172,64.2082,652082,14
1612,137,170,64.1773,651773,22
467,147,163,64.1479,651479,28
950,141,166,64.1445,651445,24
2066,81,173,64.1286,651286,14
2921,66,178,64.1259,651259,14
2324,167,174,64.0775,650775,42
3019,164,178,64.0468,650468,24
2065,80,173,64.005,650050,14
1035,61,167,63.970200000000006,649702,14
1201,61,168,63.9298,649298,14
458,138,163,63.8947,648947,24
644,162,164,63.892300000000006,648923,82
539,57,164,63.887699999999995,648877,14
217,58,162,63.837,648370,14
1864,50,172,63.82940000000001,648294,14
139,140,161,63.8083,648083,30
76,77,161,63.8044,648044,16
3095,63,179,63.7993,647993,14
2321,164,174,63.7872,647872,28
561,79,164,63.784099999999995,647841,16
1036,62,167,63.7397,647397,14
3110,78,179,63.6451,646451,14
2933,78,178,63.634600000000006,646346,14
240,81,162,63.631299999999996,646313,16
2762,83,177,63.6079,646079,14
1972,158,172,63.5984,645984,26
2035,50,173,63.578500000000005,645785,14
370,50,163,63.556200000000004,645562,14
78,79,161,63.5523,645523,16
870,61,166,63.4941,644941,14
2409,79,175,63.456,644560,14
2583,79,176,63.456,644560,14
2322,165,174,63.451499999999996,644515,34
3297,87,180,63.373999999999995,643740,14
783,138,165,63.284099999999995,642841,24
451,131,163,63.282799999999995,642828,28
701,56,165,63.2564,642564,14
1556,81,170,63.2488,642488,14
1469,162,169,63.2268,642268,40
1803,159,171,63.215999999999994,642160,26
3097,65,179,63.2102,642102,14
400,80,163,63.080299999999994,640803,16
788,143,165,63.051,640510,26
2940,85,178,63.030100000000004,640301,14
2587,83,176,63.004400000000004,640044,14
399,79,163,62.9566,639566,16
723,78,165,62.9216,639216,16
1122,148,167,62.893,638930,26
2589,85,176,62.8631,638631,14
3276,66,180,62.8611,638611,14
1368,61,169,62.8504,638504,14
2656,152,176,62.8034,638034,22
1952,138,172,62.7331,637331,22
2308,151,174,62.7319,637319,24
397,77,163,62.7249,637249,18
2764,85,177,62.6729,636729,14
2134,149,173,62.6649,636649,22
1105,131,167,62.6148,636148,22
2124,139,173,62.5905,635905,22
1957,143,172,62.441,634410,22
2414,84,175,62.3761,633761,14
2149,164,173,62.3244,633244,34
2590,86,176,62.3083,633083,14
378,58,163,62.2324,632324,14
3116,84,179,62.1988,631988,14
2939,84,178,62.1988,631988,14
2936,81,178,62.1926,631926,14
3093,61,179,62.1878,631878,14
3113,81,179,62.1648,631648,14
2306,149,174,62.1382,631382,22
2135,150,173,62.1142,631142,24
2315,158,174,62.113,631130,24
2495,165,175,62.081,630810,30
3273,63,180,62.0644,630644,14
3015,160,178,62.0618,630618,20
1620,145,170,62.0499,630499,22
621,139,164,62.0433,630433,24
1965,151,172,62.0228,630228,24
1964,150,172,62.0178,630178,24
1307,167,168,62.0161,630161,108
3270,60,180,62.0137,630137,14
865,56,166,61.9826,629826,14
1291,151,168,61.9811,629811,26
948,139,166,61.9293,629293,24
1127,153,167,61.8694,628694,30
2326,169,174,61.7947,627947,50
138,139,161,61.7504,627504,28
3115,83,179,61.7245,627245,14
2145,160,173,61.7102,627102,26
949,140,166,61.6647,626647,24
2668,164,176,61.6364,626364,26
2938,83,178,61.582,625820,14
3002,147,178,61.5727,625727,20
2767,88,177,61.5491,625491,14
1785,141,171,61.5083,625083,22
1789,145,171,61.457,624570,22
2493,163,175,61.4517,624517,26
3005,150,178,61.4491,624491,20
3016,161,178,61.417,624170,20
721,76,165,61.3949,623949,16
1969,155,172,61.321,623210,28
1619,144,170,61.3081,623081,22
1977,163,172,61.3026,623026,34
1271,131,168,61.2208,622208,22
2757,78,177,61.1923,621923,14
3292,82,180,61.1806,621806,14
702,57,165,61.1772,621772,14
3009,154,178,61.1629,621629,22
620,138,164,61.1482,621482,24
1452,145,169,61.0887,620887,22
2763,84,177,61.0821,620821,14
2307,150,174,61.0268,620268,22
2327,170,174,61.0189,620189,56
2207,50,174,60.9875,619875,14
708,63,165,60.9771,619771,14
790,145,165,60.9722,619722,28
2830,151,177,60.9607,619607,20
3198,166,179,60.8534,618534,26
2415,85,175,60.8164,618164,14
1726,82,171,60.8023,618023,14
2317,160,174,60.788,617880,26
1895,81,172,60.774,617740,14
3191,159,179,60.7619,617619,20
2155,170,173,60.7,617000,60
2828,149,177,60.685,616850,20
3369,159,180,60.6802,616802,20
1805,161,171,60.6757,616757,28
1812,168,171,60.6111,616111,60
3098,66,179,60.6099,616099,14
2497,167,175,60.5452,615452,38
2499,169,175,60.3192,613192,48
2942,87,178,60.2867,612867,14
3180,148,179,60.2123,612123,20
545,63,164,60.2094,612094,14
626,144,164,60.1986,611986,28
2652,148,176,60.1905,611905,20
3192,160,179,60.183,611830,20
142,143,161,60.1606,611606,28
3197,165,179,60.1519,611519,24
3357,147,180,60.1322,611322,20
3178,146,179,60.0966,610966,20
401,81,163,60.07,610700,16
3119,87,179,60.0597,610597,14
3291,81,180,60.0332,610332,14
2123,138,173,60.0253,610253,22
785,140,165,59.9489,609489,24
2146,161,173,59.9431,609431,26
805,160,165,59.8302,608302,60
1388,81,169,59.8023,608023,14
1975,161,172,59.7154,607154,28
1963,149,172,59.7058,607058,24
3003,148,178,59.6949,606949,20
622,140,164,59.6271,606271,26
1438,131,169,59.5199,605199,22
3361,151,180,59.5059,605059,20
307,148,162,59.4977,604977,26
2151,166,173,59.496,604960,44
2756,77,177,59.4143,604143,14
140,141,161,59.3995,603995,28
3011,156,178,59.3658,603658,22
298,139,162,59.3584,603584,26
77,78,161,59.3566,603566,16
964,155,166,59.3461,603461,30
302,143,162,59.3371,603371,28
1300,160,168,59.2215,602215,36
1123,149,167,59.1943,601943,26
3373,163,180,59.1597,601597,20
1810,166,171,59.1544,601544,52
1784,140,171,59.1427,601427,22
947,138,166,58.9543,599543,24
965,156,166,58.9457,599457,34
398,78,163,58.8092,598092,16
3021,166,178,58.7747,597747,26
2316,159,174,58.767,597670,26
1125,151,167,58.6726,596726,26
237,78,162,58.6528,596528,16
1124,150,167,58.5341,595341,26
2494,164,175,58.491,594910,28
1221,81,168,58.3345,593345,14
2152,167,173,58.3194,593194,52
2480,150,175,58.2182,592182,22
3200,168,179,58.1571,591571,26
1298,158,168,58.1234,591234,32
3363,153,180,58.0425,590425,20
2841,162,177,57.9708,589708,22
2829,150,177,57.9113,589113,20
2844,165,177,57.9061,589061,26
1303,163,168,57.9042,589042,58
2136,151,173,57.8618,588618,24
2842,163,177,57.8214,588214,24
299,140,162,57.7128,587128,28
2671,167,176,57.5476,585476,32
1133,159,167,57.4553,584553,38
3006,151,178,57.4287,584287,20
624,142,164,57.3153,583153,26
464,144,163,57.2986,582986,28
2500,170,175,57.2613,582613,52
1644,169,170,57.0959,580959,102
787,142,165,57.0395,580395,26
3287,77,180,56.9949,579949,14
2664,160,176,56.9549,579549,22
1796,152,171,56.9451,579451,24
466,146,163,56.9422,579422,28
3286,76,180,56.9112,579112,14
463,143,163,56.8271,578271,28
149,150,161,56.5351,575351,30
628,146,164,56.5223,575223,28
954,145,166,56.4681,574681,28
141,142,161,56.4638,574638,30
625,143,164,56.4632,574632,28
2153,168,173,56.3204,573204,50
2320,163,174,56.3129,573129,28
1807,163,171,56.2565,572565,40
3022,167,178,56.2415,572415,26
2932,77,178,56.2379,572379,14
1305,165,168,56.2259,572259,64
959,150,166,56.2006,572006,26
956,147,166,56.1665,571665,28
459,139,163,56.0637,570637,26
3375,165,180,56.0273,570273,20
1444,137,169,55.9362,569362,22
3275,65,180,55.9089,569089,14
1982,168,172,55.881,568810,58
1277,137,168,55.7788,567788,22
953,144,166,55.5565,565565,28
803,158,165,55.5218,565218,46
2318,161,174,55.5123,565123,28
1446,139,169,55.5081,565081,22
627,145,164,55.5021,565021,28
2485,155,175,55.3922,563922,26
1301,161,168,55.3238,563238,38
2843,164,177,55.2845,562845,24
3007,152,178,55.2689,562689,22
303,144,162,55.2393,562393,28
3020,165,178,55.1427,561427,26
304,145,162,55.1172,561172,28
2831,152,177,54.9976,559976,22
2148,163,173,54.9191,559191,28
3001,146,178,54.8252,558252,20
3024,169,178,54.8225,558225,26
2482,152,175,54.6149,556149,24
1790,146,171,54.577,555770,22
1445,138,169,54.5712,555712,22
2490,160,175,54.5596,555596,26
643,161,164,54.5088,555088,74
1468,161,169,54.4737,554737,36
1447,140,169,54.3933,553933,22
2156,171,173,54.3715,553715,68
309,150,162,54.3028,553028,28
640,158,164,54.256,552560,52
1306,166,168,54.2401,552401,80
792,147,165,54.2204,552204,28
1448,141,169,54.167,551670,22
2486,156,175,54.1333,551333,26
630,148,164,54.0359,550359,28
791,146,165,53.9809,549809,28
1966,152,172,53.9727,549727,24
2845,166,177,53.9225,549225,28
1968,154,172,53.8359,548359,28
1299,159,168,53.8328,548328,34
2319,162,174,53.7887,547887,26
3364,154,180,53.7342,547342,20
2827,148,177,53.7103,547103,20
469,149,163,53.7063,547063,26
1140,166,167,53.6959,546959,110
1953,139,172,53.678,546780,22
3185,153,179,53.6724,546724,20
3196,164,179,53.629,546290,20
2139,154,173,53.5823,545823,26
969,160,166,53.5751,545751,48
2138,153,173,53.5733,545733,26
3025,170,178,53.544,545440,36
786,141,165,53.4966,544966,26
1806,162,171,53.4615,544615,34
1978,164,172,53.4303,544303,40
2840,161,177,53.3914,543914,20
465,145,163,53.3563,543563,28
143,144,161,53.2926,542926,28
3188,156,179,53.292,542920,20
3008,153,178,53.2812,542812,22
1286,146,168,53.2305,542305,24
306,147,162,53.1815,541815,26
3374,164,180,53.1564,541564,20
3109,77,179,53.1298,541298,14
468,148,163,52.9718,539718,26
3199,167,179,52.926,539260,26
1797,153,171,52.8687,538687,26
1471,164,169,52.8102,538102,56
2672,168,176,52.7082,537082,40
2846,167,177,52.6936,536936,30
3187,155,179,52.6785,536785,20
1967,153,172,52.6779,536779,26
1470,163,169,52.6732,536732,46
1954,140,172,52.6176,536176,22
623,141,164,52.594,535940,26
2487,157,175,52.5727,535727,24
2310,153,174,52.5548,535548,26
3184,152,179,52.4845,534845,20
3186,154,179,52.4778,534778,20
3010,155,178,52.3916,533916,20
460,140,163,52.3814,533814,26
2848,169,177,52.3396,533396,40
2312,155,174,52.2768,532768,26
2483,153,175,52.1717,531717,26
642,160,164,52.1243,531243,64
2484,154,175,52.037,530370,26
3362,152,180,51.9026,529026,20
3190,158,179,51.7486,527486,20
957,148,166,51.7413,527413,26
955,146,166,51.6179,526179,28
1135,161,167,51.5134,525134,48
3014,159,178,51.4647,524647,20
1622,147,170,51.4054,524054,24
2678,174,176,51.3999,523999,68
148,149,161,51.2898,522898,28
3368,158,180,51.2766,522766,20
2833,154,177,51.2624,522624,22
146,147,161,51.2439,522439,26
300,141,162,51.1174,521174,30
2835,156,177,51.1021,521021,22
1467,160,169,50.9383,519383,34
3012,157,178,50.9284,519284,22
