,fast_ma,slow_ma,profit,end_capital,number_of_trades
1013,9,76,-0.07930000000000004,9207,20
1079,75,76,-0.07940000000000003,9206,26
1216,61,78,-0.07940000000000003,9206,16
654,10,71,-0.07950000000000002,9205,20
383,9,67,-0.0796,9204,18
516,9,69,-0.07979999999999998,9202,20
823,38,73,-0.07989999999999997,9201,14
583,8,70,-0.07989999999999997,9201,20
1159,4,78,-0.08009999999999995,9199,20
582,7,70,-0.08009999999999995,9199,20
715,1,72,-0.08040000000000003,9196,30
745,31,72,-0.08050000000000002,9195,14
1245,13,79,-0.0806,9194,18
1011,7,76,-0.0807,9193,20
1014,10,76,-0.08079999999999998,9192,20
99,40,62,-0.08079999999999998,9192,16
940,10,75,-0.08079999999999998,9192,20
540,33,69,-0.08089999999999997,9191,14
649,5,71,-0.08099999999999996,9190,26
1071,67,76,-0.08120000000000005,9188,16
354,45,66,-0.08120000000000005,9188,14
1218,63,78,-0.08130000000000004,9187,16
340,31,66,-0.08130000000000004,9187,14
1293,61,79,-0.08140000000000003,9186,16
1168,13,78,-0.08150000000000002,9185,16
774,60,72,-0.08189999999999997,9181,16
279,34,65,-0.08220000000000005,9178,14
637,62,70,-0.08220000000000005,9178,16
500,60,68,-0.08240000000000003,9176,16
859,2,74,-0.08250000000000002,9175,28
775,61,72,-0.08289999999999997,9171,16
1160,5,78,-0.08299999999999996,9170,20
655,11,71,-0.08299999999999996,9170,16
1153,74,77,-0.08299999999999996,9170,24
1296,64,79,-0.08309999999999995,9169,16
914,57,74,-0.08330000000000004,9167,14
1315,5,80,-0.08340000000000003,9166,20
853,68,73,-0.08360000000000001,9164,22
1084,5,77,-0.08360000000000001,9164,22
1107,28,77,-0.08379999999999999,9162,14
643,68,70,-0.08389999999999997,9161,28
779,65,72,-0.08399999999999996,9160,18
480,40,68,-0.08409999999999995,9159,14
786,1,73,-0.08430000000000004,9157,30
1081,2,77,-0.08430000000000004,9157,26
1314,4,80,-0.08440000000000003,9156,20
1332,22,80,-0.0847,9153,14
