Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
442,BBY,"Best Buy Co., Inc.",14009551872,5425253,3.87,1.65,1.11,6.98,2.79,-0.57,-18.86,-0.01,-27.87,1.35,-31.57,11.95
443,CLX,Clorox Company (The),13986270208,2088195,1.49,0.84,-5.36,-9.17,-8.01,3.32,0.07,-3.08,-25.2,-19.25,-17.36,-33.67
444,GEN,Gen Digital Inc.,13943951360,3397785,2.44,0.0,0.94,1.44,-3.48,-9.87,-16.1,-22.98,-13.55,39.43,-6.85,25.72
445,TTD,"The Trade Desk, Inc.",13936608256,29147241,20.91,-1.71,17.12,16.38,12.01,-20.48,-43.69,-56.71,-73.42,-51.88,-60.41,0.15
446,AVY,Avery Dennison Corporation,13810352128,370831,0.27,-2.23,-5.3,-6.36,-7.68,-2.91,-0.04,4.93,-14.18,7.35,-10.63,94.68
447,DPZ,Domino's Pizza Inc,13734377472,775477,0.56,1.42,0.01,1.11,6.98,0.76,-1.16,-10.27,1.11,28.47,-6.9,13.71
448,BEN,"Franklin Resources, Inc.",13681291264,3794102,2.77,-2.53,-0.98,-3.74,-3.14,1.82,16.46,22.34,37.37,14.39,5.78,100.12
449,ERIE,Erie Indemnity Company,13587522560,271532,0.2,-3.65,-4.52,-3.7,-8.16,-8.94,-19.55,-25.06,-49.5,16.79,38.44,82.37
450,EG,"Everest Group, Ltd.",13494753280,268092,0.2,0.38,-0.3,-0.51,-0.6,3.86,-4.25,0.33,-12.52,-3.48,28.64,128.83
451,HRL,Hormel Foods Corporation,13437940736,2246365,1.67,0.95,-0.73,-3.52,4.18,0.25,3.78,-15.9,-19.05,-32.27,-33.22,-40.44
452,HST,"Host Hotels & Resorts, Inc.",13397331968,10511604,7.85,-3.66,-1.89,-2.44,-1.59,2.23,18.89,29.02,13.08,38.93,37.74,146.19
453,HAS,"Hasbro, Inc.",13293396992,1489240,1.12,-0.92,-3.22,-5.27,-6.33,7.2,25.2,43.51,39.34,107.59,27.12,88.14
454,PSKY,Paramount Skydance Corporation,13226973184,11248667,8.5,2.13,-3.69,18.01,16.98,1.78,-28.01,0.82,16.88,-42.19,-64.56,-17.92
455,MAS,Masco Corporation,12961627136,2378428,1.83,-2.51,-6.42,-11.41,-17.55,-8.54,-5.7,5.6,-21.48,42.83,13.54,76.47
456,ALLE,Allegion plc,12953696256,666362,0.51,-1.24,-5.05,-3.38,-15.62,-9.91,-10.12,10.37,6.15,56.16,19.22,72.96
457,GDDY,GoDaddy Inc.,12696552448,1447424,1.14,0.88,5.29,18.74,6.45,-11.35,-28.25,-47.23,-41.33,22.79,35.39,22.35
458,ALGN,"Align Technology, Inc.",12484500480,1727016,1.38,-0.91,-4.73,-7.47,-5.36,3.01,28.69,-0.66,-32.34,-46.15,-70.54,-13.42
459,JKHY,"Jack Henry & Associates, Inc.",12436562944,1030025,0.83,2.86,2.2,10.17,9.52,-8.61,11.04,-3.7,-0.16,20.35,4.38,-0.11
460,PNW,Pinnacle West Capital Corporati,12385548288,1213686,0.98,0.65,0.43,2.66,5.26,10.84,12.36,17.67,21.05,43.65,85.1,79.96
461,IT,"Gartner, Inc.",12181037056,1058893,0.87,-1.16,2.56,13.16,10.0,-28.73,-32.46,-58.24,-67.08,-46.14,-47.92,53.75
462,SOLV,Solventum Corporation,12042149888,1014895,0.84,-1.94,-1.98,-7.55,-8.61,-13.52,-2.84,-4.6,-4.05,,,
463,DOC,"Healthpeak Properties, Inc.",12010359808,5051281,4.21,-0.75,-1.2,-1.31,6.81,-2.25,-5.63,6.45,-13.4,-2.94,-36.22,8.34
464,GNRC,Generac Holdlings Inc.,11972723712,955250,0.8,-6.76,-7.77,-13.76,-5.43,16.36,6.29,64.52,42.76,104.43,-56.62,108.4
465,SJM,The J.M. Smucker Company,11865476096,1468255,1.24,-0.12,-1.01,4.32,1.18,10.03,11.08,21.25,-1.05,-20.69,5.41,14.71
466,SWK,"Stanley Black & Decker, Inc.",11798446080,1789171,1.52,-2.37,-6.8,-10.77,-15.16,-9.14,9.63,21.36,-25.6,14.24,-52.83,-11.18
467,UHS,"Universal Health Services, Inc.",11768340480,591086,0.5,-2.19,-5.96,-16.42,-17.61,-6.26,-8.39,12.49,-18.49,52.49,45.39,115.66
468,APA,APA Corporation,11692462080,10453976,8.94,0.93,2.61,17.39,21.4,27.91,38.44,62.73,38.35,-3.83,35.18,252.62
469,CPT,Camden Property Trust,11334294528,588095,0.52,-1.94,-1.53,-2.12,-0.88,0.06,2.42,-5.36,-11.15,13.19,-22.32,54.29
470,GL,Globe Life Inc.,11318351872,465273,0.41,-0.83,-1.73,-1.37,-1.33,2.8,6.61,19.8,34.25,35.13,58.09,124.34
471,AIZ,"Assurant, Inc.",11163580416,228452,0.2,-1.88,-4.29,-0.54,4.35,-5.73,6.05,13.74,17.55,98.03,45.43,182.67
472,ZBRA,Zebra Technologies Corporation,11127521280,989562,0.89,-4.36,-2.54,-8.1,-19.88,-11.01,-28.87,-24.09,-39.62,-26.85,-58.39,-1.54
473,WYNN,"Wynn Resorts, Limited",10565055488,2178828,2.06,-3.57,-0.66,-5.44,-5.58,-11.5,-18.74,17.18,28.58,-3.99,17.58,36.47
474,IVZ,Invesco Ltd,10501758976,9339486,8.89,-4.29,-6.55,-11.61,-9.03,-18.4,4.66,67.42,45.3,72.26,14.73,344.72
475,RVTY,"Revvity, Inc.",10355729408,1175313,1.13,-5.42,-4.8,-6.39,-4.43,-22.43,-7.58,-2.79,-27.49,-31.08,-47.69,2.55
476,BLDR,"Builders FirstSource, Inc.",10299544576,3928844,3.81,-2.5,-4.44,-9.27,-22.77,-25.65,-24.94,-13.76,-53.86,8.87,58.13,508.23
477,DVA,DaVita Inc.,10078154752,538167,0.53,0.55,-0.99,0.84,0.53,38.1,16.7,10.44,-7.59,82.81,30.4,90.86
478,AES,The AES Corporation,10076511232,12170785,12.08,-0.49,-0.21,-13.56,-12.65,-3.15,-1.51,37.93,-19.69,-34.23,-33.0,48.99
479,AOS,A.O. Smith Corporation,9819967488,927289,0.94,-1.4,-6.11,-6.93,-10.81,-2.85,3.62,13.46,-13.63,15.52,14.95,96.24
480,MGM,MGM Resorts International,9728623616,4025387,4.14,-4.2,-0.78,0.03,4.04,3.34,8.41,5.96,-5.77,-17.24,-25.91,180.8
481,BXP,"BXP, Inc.",9373395968,2140064,2.28,-4.56,-4.18,-12.21,-10.38,-19.05,-27.9,-23.66,-30.74,16.33,-43.6,-5.62
482,FRT,Federal Realty Investment Trust,9335904256,600245,0.64,-1.03,-2.73,-0.41,2.67,5.79,7.37,16.91,0.48,24.02,6.73,101.62
483,TAP,Molson Coors Beverage Company,9208036352,2028739,2.2,0.04,-1.96,-0.82,-13.35,-5.31,4.78,-2.59,-11.02,-1.4,20.95,49.47
484,HSIC,"Henry Schein, Inc.",9135444992,1724745,1.89,-3.21,-3.25,-5.26,-1.06,-1.11,21.55,10.6,6.98,-8.41,-2.87,51.77
485,NCLH,Norwegian Cruise Line Holdings ,9127912448,22820275,25.0,-4.16,-5.74,-15.79,-13.76,-3.7,-14.57,10.59,-0.79,53.29,-21.31,94.47
486,BAX,Baxter International Inc.,9101329408,9200885,10.11,-4.89,-7.04,-14.62,-5.41,-11.82,-23.08,-40.4,-53.27,-55.19,-76.28,-76.78
487,CAG,"ConAgra Brands, Inc.",9098587136,7111108,7.82,2.2,0.32,1.87,-4.61,11.02,8.22,-6.46,-35.22,-41.54,-28.9,-27.68
488,ARE,Alexandria Real Estate Equities,8791527424,1625260,1.85,-2.05,-2.85,-6.16,0.65,-12.67,-33.5,-25.22,-54.73,-53.0,-70.61,-55.69
489,CRL,Charles River Laboratories Inte,8588282368,659298,0.77,-3.78,-0.7,4.12,9.9,-22.13,-11.46,20.28,-16.77,-11.26,-58.52,8.43
490,FDS,FactSet Research Systems Inc.,8452040704,662976,0.78,0.42,1.35,9.88,12.42,-21.38,-20.11,-46.04,-50.97,-42.33,-45.16,-14.09
491,TECH,Bio-Techne Corp,8431267840,3031650,3.6,-3.58,-5.44,-6.88,-9.37,-22.52,-18.02,9.33,-32.4,-27.71,-56.48,-15.63
492,MOS,Mosaic Company (The),8353563136,8981133,10.75,0.11,-1.76,-2.48,-11.62,-6.57,-11.44,-26.07,2.34,-34.9,-30.86,189.01
493,SWKS,"Skyworks Solutions, Inc.",8241977856,3708396,4.5,-2.96,-5.74,-8.38,-8.66,-7.04,-24.23,-20.84,-41.42,-45.53,-62.11,-39.88
494,EPAM,"EPAM Systems, Inc.",8058240512,1540060,1.91,0.89,3.62,11.28,-10.58,-33.41,-8.49,-13.47,-26.35,-49.05,-77.5,-31.2
495,POOL,Pool Corporation,7973365760,592406,0.74,-1.95,-3.42,-0.51,-20.74,-19.92,-26.91,-24.51,-41.44,-31.95,-55.21,5.35
496,CPB,The Campbell's Company,7691863040,8301914,10.79,2.95,-0.96,-2.6,-11.1,-2.82,-15.33,-15.65,-45.76,-48.15,-26.04,-39.94
497,PAYC,"Paycom Software, Inc.",7577593344,1422610,1.88,0.99,4.7,11.38,15.24,-9.54,-30.67,-42.68,-19.49,-51.35,-73.72,-42.13
498,MOH,Molina Healthcare Inc,7440205312,1122866,1.51,-2.19,-0.23,-0.74,14.02,-27.31,-11.54,-50.59,-58.71,-49.41,-51.5,-17.15
499,MTCH,"Match Group, Inc.",7193058816,3678269,5.11,-2.68,-1.07,-2.9,1.84,-3.33,-6.04,2.41,-14.85,-12.18,-81.47,-58.03
500,LW,"Lamb Weston Holdings, Inc.",6414394368,4290500,6.69,0.83,-1.88,-2.23,-8.51,4.35,-30.24,-13.61,-27.69,-54.6,-16.21,-8.1
